Dep_Code,Arr_Code,Dep_Date,Arr_Date,airline,baggage,flightstops,totaltime,Scrap_Date,triptype,price
DEL,DXB,8/20/2025 16:50,8/20/2025 0:00,AI,With Baggage,0,225,8/5/2025,oneway,318.84
DEL,DXB,8/20/2025 20:05,8/20/2025 0:00,SV,With Baggage,1,600,8/5/2025,oneway,322.33
DEL,DXB,8/20/2025 11:25,8/20/2025 0:00,SV,With Baggage,1,695,8/5/2025,oneway,323.01
DEL,DXB,8/20/2025 20:05,8/20/2025 0:00,SV,With Baggage,1,920,8/5/2025,oneway,323.01
DEL,DXB,8/20/2025 11:25,8/20/2025 0:00,SV,With Baggage,1,990,8/5/2025,oneway,323.01
DEL,DXB,8/20/2025 20:05,8/20/2025 0:00,SV,With Baggage,1,1105,8/5/2025,oneway,323.01
DEL,DXB,8/20/2025 11:25,8/20/2025 0:00,SV,With Baggage,1,1120,8/5/2025,oneway,323.01
DEL,DXB,8/20/2025 11:00,8/20/2025 0:00,EK,With Baggage,0,210,8/5/2025,oneway,336.91
DEL,DXB,8/20/2025 4:15,8/20/2025 0:00,EK,With Baggage,0,215,8/5/2025,oneway,336.91
DEL,DXB,8/20/2025 22:00,8/20/2025 0:00,EK,With Baggage,0,215,8/5/2025,oneway,336.91
DEL,DXB,8/20/2025 5:15,8/20/2025 0:00,UL,With Baggage,1,795,8/5/2025,oneway,347.02
DEL,DXB,8/20/2025 8:55,8/20/2025 0:00,WY,With Baggage,1,495,8/5/2025,oneway,367.54
DEL,DXB,8/20/2025 2:30,8/20/2025 0:00,ET,With Baggage,1,1555,8/5/2025,oneway,369.27
DEL,DXB,8/20/2025 2:30,8/20/2025 0:00,ET,With Baggage,1,1630,8/5/2025,oneway,369.27
DEL,DXB,8/20/2025 13:45,8/20/2025 0:00,HY,With Baggage,1,1365,8/5/2025,oneway,371.12
DEL,DXB,8/20/2025 10:25,8/20/2025 0:00,QR,With Baggage,1,750,8/5/2025,oneway,374.22
DEL,DXB,8/20/2025 5:15,8/20/2025 0:00,UL,With Baggage,1,795,8/5/2025,oneway,382.55
DEL,DXB,8/20/2025 8:55,8/20/2025 0:00,WY,With Baggage,1,1185,8/5/2025,oneway,385.65
DEL,DXB,8/20/2025 17:00,8/20/2025 0:00,6E,With Baggage,1,715,8/5/2025,oneway,400.51
DEL,DXB,8/20/2025 11:00,8/20/2025 0:00,EK,With Baggage,0,210,8/5/2025,oneway,421.9
DEL,DXB,8/20/2025 4:15,8/20/2025 0:00,EK,With Baggage,0,215,8/5/2025,oneway,421.9
DEL,DXB,8/20/2025 22:00,8/20/2025 0:00,EK,With Baggage,0,215,8/5/2025,oneway,421.9
DEL,DXB,8/20/2025 3:00,8/20/2025 0:00,AZ,With Baggage,1,1075,8/5/2025,oneway,427.42
DEL,DXB,8/20/2025 6:40,8/20/2025 0:00,6E,With Baggage,1,1150,8/5/2025,oneway,457.49
DEL,DXB,8/20/2025 6:40,8/20/2025 0:00,6E,With Baggage,1,1280,8/5/2025,oneway,457.49
DEL,DXB,8/20/2025 6:40,8/20/2025 0:00,6E,Without Baggage,1,1150,8/5/2025,oneway,475.0
DEL,DXB,8/20/2025 7:20,8/20/2025 0:00,IX,With Baggage,1,1010,8/5/2025,oneway,497.98
DEL,DXB,8/20/2025 7:20,8/20/2025 0:00,IX,With Baggage,1,1010,8/5/2025,oneway,500.93
DEL,DXB,8/20/2025 16:20,8/20/2025 0:00,EK,With Baggage,0,210,8/5/2025,oneway,504.67
DEL,DXB,8/20/2025 1:05,8/20/2025 0:00,LX,With Baggage,1,1290,8/5/2025,oneway,546.05
DEL,DXB,8/20/2025 5:15,8/20/2025 0:00,UL,With Baggage,1,1075,8/5/2025,oneway,577.12
DEL,DXB,8/20/2025 9:35,8/20/2025 0:00,ET,With Baggage,1,1900,8/5/2025,oneway,631.65
DEL,DXB,8/20/2025 16:20,8/20/2025 0:00,EK,With Baggage,0,210,8/5/2025,oneway,633.0
DEL,DXB,8/20/2025 2:30,8/20/2025 0:00,ET,With Baggage,1,885,8/5/2025,oneway,667.64
DEL,DXB,8/20/2025 21:45,8/20/2025 0:00,AI,With Baggage,1,595,8/5/2025,oneway,709.59
DEL,DXB,8/20/2025 20:45,8/20/2025 0:00,AI,With Baggage,1,655,8/5/2025,oneway,709.59
DEL,DXB,8/20/2025 2:15,8/20/2025 0:00,AI,With Baggage,1,660,8/5/2025,oneway,710.18
DEL,DXB,8/20/2025 2:30,8/20/2025 0:00,ET,With Baggage,1,885,8/5/2025,oneway,727.89
DEL,DXB,8/20/2025 20:00,8/20/2025 0:00,AI,With Baggage,1,700,8/5/2025,oneway,732.27
DEL,DXB,8/20/2025 11:40,8/20/2025 0:00,AI,With Baggage,1,465,8/5/2025,oneway,854.61
DEL,DXB,8/20/2025 11:40,8/20/2025 0:00,AI,With Baggage,1,485,8/5/2025,oneway,871.79
DEL,DXB,8/20/2025 10:55,8/20/2025 0:00,AI,With Baggage,1,510,8/5/2025,oneway,871.79
DEL,DXB,8/20/2025 11:40,8/20/2025 0:00,AI,With Baggage,1,465,8/5/2025,oneway,876.77
DXB,LHR,8/22/2025 22:30,8/22/2025 0:00,SV,With Baggage,1,1230,8/5/2025,oneway,124.75
DXB,LGW,8/22/2025 13:55,8/22/2025 0:00,TK,With Baggage,1,685,8/5/2025,oneway,216.56
DXB,LGW,8/22/2025 7:35,8/22/2025 0:00,TK,With Baggage,1,700,8/5/2025,oneway,216.56
DXB,LGW,8/22/2025 10:30,8/22/2025 0:00,TK,With Baggage,1,890,8/5/2025,oneway,216.56
DXB,LHR,8/22/2025 7:35,8/22/2025 0:00,TK,With Baggage,1,725,8/5/2025,oneway,216.56
DXB,LHR,8/22/2025 7:35,8/22/2025 0:00,TK,With Baggage,1,700,8/5/2025,oneway,218.19
DXB,LGW,8/22/2025 7:35,8/22/2025 0:00,TK,With Baggage,1,1065,8/5/2025,oneway,218.19
DXB,LGW,8/22/2025 13:55,8/22/2025 0:00,TK,With Baggage,1,1380,8/5/2025,oneway,218.19
DXB,LGW,8/22/2025 10:30,8/22/2025 0:00,TK,With Baggage,1,1585,8/5/2025,oneway,218.19
DXB,LGW,8/22/2025 7:35,8/22/2025 0:00,TK,With Baggage,1,1760,8/5/2025,oneway,218.19
DXB,LGW,8/22/2025 2:00,8/22/2025 0:00,TK,With Baggage,1,655,8/5/2025,oneway,219.71
